,id,share_holder,quantity,share_own_percent,update_date
0,81362479,Trương Gia Bình,102041710,0.0699,2025-02-04
1,81359009,Tổng Công ty Đầu Tư Và Kinh Doanh Vốn Nhà Nước - Công ty TNHH,83987511,0.0571,2025-04-02
2,81357978,Red River Holding,21041999,0.0458,2024-05-06
3,81336068,Công ty TNHH Qt,54303923,0.0369,2025-04-02
4,81337563,"Deutsche Bank Aktiengesellchaft, London Branch",9604598,0.0241605875,2015-06-15
5,81334662,Công ty Cổ phần Quản Lý Quỹ Đầu Tư Dragon Capital Việt Nam,25097634,0.0198,2025-04-02
6,81345262,Ngân hàng Deutsche Aktiengesellschaft,7354242,0.01849977,2025-03-10
7,81358147,Stichting Depositary Apg Emerging Markets Equity Pool,21115647,0.0166,2025-04-02
8,81363346,Vinacapital Vietnam Opportunity Fund Ltd.,22791922,0.0155,2025-04-02
9,81332394,Bùi Quang Ngọc,21961492,0.0149,2025-02-17
10,81362707,Trương Thị Thanh Thanh,21822466,0.0149,2025-02-04
11,81340131,Hoàng Minh Châu,5610790,0.0141169968,2015-09-14
12,81336438,CTBC Vietnam Equity Fund,17458000,0.0137,2025-04-02
13,81356715,Phan Ngô Tống Hưng,5344531,0.0134470773,2015-09-14
14,81358097,Schroder International Selection Fund,19460017,0.0132,2025-04-02
15,81344897,Macquarie Bank Limited Obu,17107235,0.0116,2025-04-02
16,81363265,Vietnam Holding Ltd,8557812,0.0109168978,2020-07-14
17,81354493,Ntasian Discovery Master Fund,16000000,0.0109,2025-04-02
18,81339628,Government Of Singapore,15162887,0.0103,2025-04-02
19,81349757,Nguyễn Thành Nam,3747323,0.009428431,2015-09-14
20,81338354,Đỗ Cao Bảo,13830531,0.0093365,2025-05-12
21,81363254,Vietnam Equity Holding,3636506,0.0091477146,2015-06-15
22,81363206,Vietnam Dragon Fund Limited,3589550,0.0090295957,2015-06-15
23,81363226,Vietnam Enterprise Investments Limited,9710183,0.007646,2023-08-30
24,81357315,PXP Vietnam Emerging Equity Fund,4867681,0.0071408373,2020-06-15
25,81342912,Lê Quang Tiến,2500001,0.0062901135,2015-09-14
26,81354461,Norges Bank,7501021,0.005906,2023-08-30
